rp_hMpc, rpDS_1e6Msunpc , rpDS_upper_1e6Msunpc      
0.12924465962305567 ,  4.1472868    , 4.3410853
0.20483898119853466 ,  4.6899225    , 4.8449612
0.32464790685222766 ,  4.1472868    , 4.3410853
0.5145322575168453 ,   4.5736434    , 4.7674419
0.8154786722400966 ,   4.6511628    , 4.8837209
1.292446596230557 ,    5.3875969    , 5.6395349
2.0483898119853476 ,   4.8837209    , 5.1744186
3.246479068522277 ,    4.4186047    , 4.6899225
5.1453225751684535 ,   5.0775194    , 5.4263566
8.154786722400967 ,    5.3875969    , 5.7945736
12.924465962305572 ,   7.4806202    ,  8.1007752
20.48389811985348 ,    8.2170543    ,  8.9922481
32.46479068522278 ,    9.8837209    ,  11.2209302
