# SDSS BOSS wp(rp) for stellar mass bin 11 < log10(M_*/Msun) < 11.5, 0.1 < z < 0.2
# Source: Guo et al. 2018 (arXiv:1804.01993), Figure 5 (sdss.pdf), top-left panel, blue × symbols
# z_eff ~ 0.15, pi_max = 100 h^-1 Mpc
# Cosmology: Planck15 (Omega_m=0.307, h=0.677, sigma8=0.829, n_s=0.961)
# Units: rp in h^-1 Mpc, wp and wp_err in h^-1 Mpc
# Extraction: visually digitized from arXiv source sdss.pdf (Ghostscript PNG at 150dpi)
# rp bins: log-spaced Δlog r = 0.2 from rp ~ 1 h^-1 Mpc (9 bins)
# Precision: ~15-20% from figure digitization
rp_hMpc,wp_hMpc,wp_err_hMpc
1.259,100,18
1.995,61,12
3.162,37,7
5.012,22,4.5
7.943,13,2.5
12.589,7.5,2
19.953,4.2,1.5
31.623,2.5,1.5
50.119,1.5,1.5
