rp_hMpc,rpwp_h2Mpc2 ,rpwp_upper_h2Mpc2      
0.8852989, 221.9646799   , 234.6578366
1.0758359, 223.0684327   , 233.5540839
1.2604601, 217.5496689   , 230.7947020
1.4948691, 253.4216336   , 266.1147903
1.7621048, 251.2141280   , 262.8035320
2.0898053, 233.0022075   , 244.5916115
2.4935920, 274.3929360   , 286.5342163
2.9393680, 283.2229581   , 295.9161148
3.4648349, 285.9823400   , 300.8830022
4.1343012, 285.4304636   , 298.6754967
4.8733846, 305.8498896   , 319.0949227
5.7796929, 323.5099338   , 338.4105960
6.8545482, 332.3399558   , 346.1368653
8.0799264, 338.4105960   , 353.8631347
9.6411088, 326.2693157   , 343.3774834
11.4340756, 340.0662252  ,  358.8300221
13.5604822, 336.7549669  ,  355.5187638
16.0823388, 326.8211921  ,  347.2406181
18.9573565, 325.7174393  ,  347.2406181
22.6202476, 299.7792494  ,  321.3024283
26.5021082, 259.4922737  ,  282.6710817
31.4307321, 228.5871965  ,  252.3178808
37.2759372, 200.9933775  ,  225.8278146
44.2081810, 203.2008830  ,  231.3465784
52.4296212, 188.3002208  ,  218.6534216
62.1800109, 175.6070640  ,  210.3752759
73.2958465, 160.7064018  ,  199.3377483
