R_hMpc,ds_Msun_h_pc2,ds_err_Msun_h_pc2
2.781329,1.778453,0.114376
3.442524,1.453672,0.109209
4.260902,1.174470,0.088234
5.273830,0.905024,0.087738
6.527558,0.793225,0.057595
8.079331,0.640872,0.046533
10.000000,0.616109,0.046272
12.377263,0.497775,0.037384
15.319664,0.462577,0.049081
18.961550,0.373731,0.032029
23.469209,0.301950,0.039432
29.048457,0.245946,0.031858
35.954039,0.198708,0.025739
