rp_hMpc,wp_hMpc,wp_err_hMpc
0.501187,157.875781,112.859537
0.794328,103.427663,3.814797
1.258925,70.072394,2.406974
1.995262,46.237615,1.771814
3.162278,35.562177,1.117939
5.011872,24.050499,0.705372
7.943282,17.336556,0.572219
12.589254,11.018860,0.441278
19.952623,6.547444,0.404986
31.622777,3.045160,0.319411
50.118723,1.639218,0.272072
