rp_hMpc,rpwp_h2Mpc2 ,rpwp_upper_h2Mpc2      
0.12924465962305567 ,  67.94871795  , 68.91025641
0.20483898119853466 ,  67.94871795  , 68.58974359
0.32464790685222755 ,  72.11538462  , 73.07692308
0.5145322575168452 ,   75.64102564  , 76.60256410
0.8154786722400964 ,   78.20512821  , 79.80769231
1.2924465962305565 ,   83.97435897  , 85.57692308
2.0483898119853468 ,   94.23076923  , 96.47435897
3.2464790685222757 ,   108.97435897 , 111.85897436
5.145322575168451 ,    122.11538462 , 125.00000000
8.154786722400962 ,    132.37179487 , 137.50000000
12.924465962305561 ,   132.05128205, 137.17948718
20.48389811985346 ,    121.79487179, 129.48717949
32.464790685222745 ,   86.53846154 , 94.87179487
51.45322575168451 ,    67.94871795 , 80.44871795
