rp_hMpc,rpwp_h2Mpc2 ,rpwp_upper_h2Mpc2      
0.12924465962305567 ,  153.1645570  , 160.1265823
0.20483898119853466 ,  156.3291139  , 163.9240506
0.32464790685222755 ,  141.7721519  , 146.5189873
0.5145322575168452 ,   133.5443038  , 137.3417722
0.8154786722400964 ,   120.5696203  , 123.7341772
1.2924465962305565 ,   126.8987342  , 130.0632911
2.0483898119853468 ,   144.3037975  , 147.7848101
3.2464790685222757 ,   162.3417722  , 166.1392405
5.145322575168451 ,    181.3291139  , 184.8101266
8.154786722400962 ,    191.7721519  , 195.8860759
12.924465962305561 ,    190.8227848 ,  194.6202532
20.48389811985346 ,     171.5189873 ,  176.8987342
32.464790685222745 ,    131.0126582 ,  136.7088608
51.45322575168451 ,     87.3417722  ,  94.6202532
