rp_hMpc, rpDS_1e6Msunpc , rpDS_upper_1e6Msunpc      
0.12924465962305567 ,  4.4636015   , 4.6934866
0.20483898119853466 ,  4.1762452   , 4.3869732
0.32464790685222766 ,  5.0000000   , 5.1915709
0.5145322575168453 ,   5.0957854   , 5.3256705
0.8154786722400966 ,   4.5402299   , 4.7701149
1.292446596230557 ,    5.1532567   , 5.3639847
2.0483898119853476 ,   4.6934866   , 4.9233716
3.246479068522277 ,    3.8505747   , 4.1570881
5.1453225751684535 ,   4.8467433   , 5.1340996
8.154786722400967 ,    5.3639847   , 5.7088123
12.924465962305572 ,    6.4559387  ,  6.8965517
20.48389811985348 ,     7.3563218  ,  8.0651341
32.46479068522278 ,     8.6973180  ,  9.7509579
