# Excess surface density DeltaSigma(R) — Zu & Mandelbaum 2015 Fig. 6
# Digitized with WebPlotDigitizer; midpoint in log-space where bounds given
# R in h^-1 Mpc; DeltaSigma in M_sun h pc^-2
R_hMpc,ds_Msun_h_pc2,ds_err_Msun_h_pc2
0.128700,138.702732,25.055500
0.192200,118.281295,21.366550
0.284700,86.813031,11.084750
0.415300,64.834913,8.278500
0.629800,52.747970,6.271600
0.932400,30.698440,4.243900
1.391200,19.124140,2.374600
2.059700,11.545217,1.474150
3.146900,8.141172,1.111150
4.620100,3.843067,0.735150
6.894700,2.513961,0.463050
10.285400,1.410434,0.310000
15.236900,1.053442,0.201550
