# Projected correlation function wp(rp) — Zu & Mandelbaum 2015 Fig. 6
# Digitized with WebPlotDigitizer; midpoint in log-space where bounds given
# rp and wp in h^-1 Mpc
rp_hMpc,wp_hMpc,wp_err_hMpc
0.119400,473.641900,71.046285
0.176000,347.922300,52.188345
0.263500,284.246400,42.636960
0.388300,205.132700,30.769905
0.586100,154.755400,23.213310
0.863700,109.721900,16.458285
1.272800,75.753500,11.363025
1.906100,55.158900,8.273835
2.808700,40.518000,6.077700
4.138700,29.763200,4.464480
6.248000,21.672400,3.250860
9.133500,15.095500,2.264325
13.572700,8.886700,1.333005
20.006800,5.372300,0.805845
