# Projected correlation function wp(rp) — Zu & Mandelbaum 2015 Fig. 6
# Digitized with WebPlotDigitizer; midpoint in log-space where bounds given
# rp and wp in h^-1 Mpc
rp_hMpc,wp_hMpc,wp_err_hMpc
0.082700,516.449176,55.495250
0.120000,415.540670,47.397350
0.178400,339.495354,32.745950
0.263000,273.153439,20.945950
0.397200,200.903046,17.170350
0.590300,145.520894,14.676300
0.877400,103.803164,9.099650
1.293800,68.136543,5.973050
1.923100,47.239755,6.117400
2.769100,33.041788,4.497700
4.214900,24.569183,3.507250
6.215300,17.221727,2.687100
9.165000,11.529271,1.977900
13.514800,5.768967,1.611250
