# Projected correlation function wp(rp) — Zu & Mandelbaum 2015 Fig. 6
# Digitized with WebPlotDigitizer; midpoint in log-space where bounds given
# rp and wp in h^-1 Mpc
rp_hMpc,wp_hMpc,wp_err_hMpc
0.183300,1665.699700,249.854955
0.267500,1458.810000,218.821500
0.402800,616.345600,92.451840
0.606800,385.065600,57.759840
0.871300,292.514200,43.877130
1.281500,205.130500,30.769575
1.946400,138.834200,20.825130
2.772000,93.952600,14.092890
4.211600,75.961800,11.394270
6.292500,41.903000,6.285450
9.257000,32.985400,4.947810
13.725400,22.927200,3.439080
20.183700,14.323200,2.148480
