# Excess surface density DeltaSigma(R) — Zu & Mandelbaum 2015 Fig. 6
# Digitized with WebPlotDigitizer; midpoint in log-space where bounds given
# R in h^-1 Mpc; DeltaSigma in M_sun h pc^-2
R_hMpc,ds_Msun_h_pc2,ds_err_Msun_h_pc2
0.036500,57.252300,11.450460
0.055100,45.149000,9.029800
0.082500,36.611000,7.322200
0.123600,24.426100,4.885220
0.184900,20.652500,4.130500
0.277000,14.980400,2.996080
0.405500,10.206100,2.041220
0.617500,6.306800,1.261360
0.917300,4.836900,0.967380
1.362900,3.683900,0.736780
2.059900,2.168100,0.433620
3.035600,1.758100,0.351620
4.550600,1.117200,0.223440
6.769700,0.700100,0.140020
10.280700,0.643500,0.128700
15.153700,0.504000,0.100800
