# Projected correlation function wp(rp) — Zu & Mandelbaum 2015 Fig. 6
# Digitized with WebPlotDigitizer; midpoint in log-space where bounds given
# rp and wp in h^-1 Mpc
rp_hMpc,wp_hMpc,wp_err_hMpc
0.126900,686.899500,103.034925
0.185500,480.345100,72.051765
0.271300,332.912500,49.936875
0.416600,245.635600,36.845340
0.599300,170.242500,25.536375
0.897800,117.989900,17.698485
1.312900,84.753100,12.712965
1.920000,60.878800,9.131820
2.901800,46.140000,6.921000
4.210200,34.349700,5.152455
6.256400,23.806700,3.571005
9.145200,16.062900,2.409435
13.685200,9.477600,1.421640
20.144700,5.444100,0.816615
