# Projected correlation function wp(rp) — Zu & Mandelbaum 2015 Fig. 6
# Digitized with WebPlotDigitizer; midpoint in log-space where bounds given
# rp and wp in h^-1 Mpc
rp_hMpc,wp_hMpc,wp_err_hMpc
0.180400,1036.272300,155.440845
0.269900,738.706600,110.805990
0.400200,410.348500,61.552275
0.588900,244.783100,36.717465
0.859900,185.720100,27.858015
1.306900,113.787100,17.068065
1.908400,88.669800,13.300470
2.809300,69.096900,10.364535
4.168300,48.818900,7.322835
6.184500,33.582400,5.037360
9.029700,23.939200,3.590880
13.503400,14.930700,2.239605
19.868700,8.827600,1.324140
