# Excess surface density DeltaSigma(R) — Zu & Mandelbaum 2015 Fig. 6
# Digitized with WebPlotDigitizer; midpoint in log-space where bounds given
# R in h^-1 Mpc; DeltaSigma in M_sun h pc^-2
R_hMpc,ds_Msun_h_pc2,ds_err_Msun_h_pc2
0.037200,116.112031,24.351000
0.056200,64.467721,15.485750
0.083600,73.983785,10.128350
0.121500,61.637083,6.374200
0.189200,41.561842,5.029900
0.277100,29.946122,3.202250
0.438400,19.194529,2.289150
0.622200,14.676387,1.802000
0.925200,9.521194,1.101950
1.408100,5.222136,0.714950
2.029700,3.849017,0.465800
3.065400,2.550150,0.362600
4.418500,1.716159,0.228850
6.884000,0.804171,0.150050
