# Excess surface density DeltaSigma(R) — Zu & Mandelbaum 2015 Fig. 6
# Digitized with WebPlotDigitizer; midpoint in log-space where bounds given
# R in h^-1 Mpc; DeltaSigma in M_sun h pc^-2
R_hMpc,ds_Msun_h_pc2,ds_err_Msun_h_pc2
0.054100,130.468925,27.277900
0.082900,118.663658,16.822450
0.124000,80.093622,12.626000
0.185500,64.027027,9.189650
0.277700,38.583411,5.946100
0.405800,38.026883,5.056150
0.621800,20.927552,2.414700
0.923100,16.905736,1.891300
1.339500,10.277365,1.167800
2.052300,5.715495,0.729800
3.119700,3.456187,0.514350
4.529500,1.367958,0.357100
6.881300,1.286143,0.214150
10.146000,0.516217,0.166650
14.944800,0.448661,0.128500
