rp_hMpc,rpwp_h2Mpc2 ,rpwp_upper_h2Mpc2      
0.12924465962305567 , 131.6129032   , 137.0967742
0.20483898119853466 , 138.0645161   , 144.1935484
0.32464790685222755 , 135.4838710   , 140.0000000
0.5145322575168452 ,  121.2903226   , 124.1935484
0.8154786722400964 ,  113.8709677   , 115.8064516
1.2924465962305565 ,  120.0000000   , 122.2580645
2.0483898119853468 ,  133.5483871   , 136.1290323
3.2464790685222757 ,  157.7419355   , 160.6451613
5.145322575168451 ,   173.5483871   , 176.7741935
8.154786722400962 ,   184.5161290   , 187.7419355
12.924465962305561 ,   185.8064516  ,  190.9677419
20.48389811985346 ,    166.1290323  ,  172.9032258
32.464790685222745 ,   122.9032258  ,  131.2903226
51.45322575168451 ,    81.9354839   ,  92.2580645
