rp_hMpc, rpDS_1e6Msunpc , rpDS_upper_1e6Msunpc      
0.12924465962305567 ,  4.6923077  ,4.8461538
0.20483898119853466 ,  5.1153846  ,5.3076923
0.32464790685222766 ,  5.4230769  ,5.6346154
0.5145322575168453 ,   5.2115385  ,5.4038462
0.8154786722400966 ,   5.9423077  ,6.1730769
1.292446596230557 ,    5.2884615  ,5.5000000
2.0483898119853476 ,   5.0192308  ,5.2500000
3.246479068522277 ,    4.7307692  ,4.9807692
5.1453225751684535 ,   5.3653846  ,5.6730769
8.154786722400967 ,    6.7692308  ,7.1153846
12.924465962305572 ,   7.3461538  , 7.8269231
20.48389811985348 ,    7.1730769  , 7.8461538
32.46479068522278 ,    9.4615385  , 10.7115385
