# eBOSS ELG projected correlation function wp(rp), 0.7 < z < 0.8, middle mass bin
# Source: Guo et al. 2019 (arXiv:1810.05318), Figure 4 (wp.pdf), first panel, blue square symbols
# Stellar mass bin: 10.5 < log10(M_*/Msun) < 11
# z_eff = 0.75, pi_max = 20 h^-1 Mpc
# Cosmology: Planck15 (Omega_m=0.307, h=0.677, sigma8=0.829, n_s=0.961)
# Units: rp in h^-1 Mpc, wp and wp_err in h^-1 Mpc
# Extraction: visually digitized from arXiv source wp.pdf (Ghostscript PNG at 150dpi)
# rp bins: log-spaced Δlog r = 0.2 from rp ~ 1.3 h^-1 Mpc (8 bins)
# Precision: ~20-25% from figure digitization
rp_hMpc,wp_hMpc,wp_err_hMpc
1.259,24,6
1.995,13,3.5
3.162,7.5,2.2
5.012,4.3,1.3
7.943,2.7,0.9
12.589,1.6,0.7
19.953,0.9,0.5
31.623,0.4,0.5
